experiment,label,round,labeled_size,n,miou_mean,miou_std,miou_ci95
baseline_entropy,Entropy,3,327,4,0.7190618166525278,0.004710794621591209,0.007494874242951613
baseline_entropy,Entropy,4,415,4,0.7269070225146036,0.003366596436108689,0.005356254929848924
baseline_entropy,Entropy,5,503,4,0.7391237824401212,0.0040905412904983195,0.0065080511931828264
baseline_entropy,Entropy,6,591,4,0.7396344032239563,0.0057161875007485765,0.009094454313690985
baseline_entropy,Entropy,7,679,4,0.7426229537453876,0.003791426270794103,0.006032159196833417
baseline_entropy,Entropy,8,767,4,0.7454380296990185,0.006800005740870813,0.010818809133725463
baseline_entropy,Entropy,9,855,4,0.7496811358623192,0.003434663163090196,0.005464549092476502
baseline_entropy,Entropy,10,943,4,0.752848623784883,0.0060355483536447905,0.009602557430648861
baseline_entropy,Entropy,11,1031,4,0.7576825905018986,0.0038532118373274305,0.006130460033187942
baseline_entropy,Entropy,12,1119,4,0.7563056149788542,0.003784514692868307,0.006021162876353477
baseline_entropy,Entropy,13,1207,4,0.7588490458899575,0.004335797220224728,0.006898253377377542
baseline_entropy,Entropy,14,1295,4,0.7555657244698646,0.0029695189630720388,0.0047245046702476135
baseline_entropy,Entropy,15,1383,4,0.7589302548228638,0.004731631406548935,0.007528025567819356
baseline_random,Random,1,151,4,0.6424633046249234,0.014532319591258778,0.023120920469692715
baseline_random,Random,2,239,4,0.687731036743298,0.009960336910653508,0.01584689602484973
baseline_random,Random,3,327,4,0.7022487018363963,0.00922250981748723,0.01467301311962218
baseline_random,Random,4,415,4,0.7108497530805673,0.01634549892942095,0.02600568879670873
baseline_random,Random,5,503,4,0.7172643447861013,0.01210836401748669,0.019264407151821324
baseline_random,Random,6,591,4,0.7288240965189845,0.0054715438310723764,0.00870522623523615
baseline_random,Random,7,679,4,0.722527533201788,0.007728137829540671,0.012295467286799207
baseline_random,Random,8,767,4,0.7319788173553613,0.009378947433849667,0.01492190536725482
baseline_random,Random,9,855,4,0.7339986604536106,0.00801848759678356,0.012757413766482643
baseline_random,Random,10,943,4,0.738655703404901,0.001364420896726549,0.0021707936466919394
baseline_random,Random,11,1031,4,0.7437085844228343,0.0062925861375529545,0.01001150454484675
baseline_random,Random,12,1119,4,0.7387919460471184,0.007518454401010867,0.01196186095200829
baseline_random,Random,13,1207,4,0.7484683773141911,0.0035478727543547988,0.0056446655521784845
baseline_random,Random,14,1295,4,0.7437909692224078,0.009112590645866944,0.014498131717574306
baseline_random,Random,15,1383,4,0.7465701731029568,0.008835677288432014,0.014057562565895335
baseline_wang_style,Wang-style,1,151,4,0.6345379703553775,0.014182028617967067,0.022563607531185605
baseline_wang_style,Wang-style,2,239,4,0.7021394981151634,0.018713287649543334,0.029772840650423446
baseline_wang_style,Wang-style,3,327,4,0.7239697598565308,0.006340204306968482,0.010087265052386855
baseline_wang_style,Wang-style,4,415,4,0.7299556363870874,0.0069688495402046345,0.011087439618465573
baseline_wang_style,Wang-style,5,503,4,0.741896023960565,0.004551956851584848,0.007242163350871493
baseline_wang_style,Wang-style,6,591,4,0.7449329182730277,0.00384984143311862,0.0061250977200917245
baseline_wang_style,Wang-style,7,679,4,0.7438973096743191,0.008075369207025718,0.012847912408377918
baseline_wang_style,Wang-style,8,767,4,0.7453277501336761,0.005109963486496175,0.008129951907015414
baseline_wang_style,Wang-style,9,855,4,0.7496267575354011,0.0035716529095744893,0.005682499779133012
baseline_wang_style,Wang-style,10,943,4,0.7549337923631052,0.005623342424814992,0.008946737797880652
baseline_wang_style,Wang-style,11,1031,4,0.75621070322505,0.0039766896507251424,0.006326913234303701
baseline_wang_style,Wang-style,12,1119,4,0.7548806783591224,0.011494921489152628,0.018288420089241832
baseline_wang_style,Wang-style,13,1207,4,0.7569060927562212,0.002101670797419978,0.003343758238695185
baseline_wang_style,Wang-style,14,1295,4,0.7612575442719134,0.006606146244785382,0.010510378675453543
baseline_wang_style,Wang-style,15,1383,4,0.7585378205927882,0.0019240692149898573,0.003061194121048863
full_model_A_lambda_policy,AAL-SD (policy full),1,151,4,0.6522974166636447,0.024784382698380632,0.03943195287312359
full_model_A_lambda_policy,AAL-SD (policy full),2,239,4,0.6999988763604913,0.011260004463991672,0.01791466710221075
full_model_A_lambda_policy,AAL-SD (policy full),3,327,4,0.7159084114854555,0.009677209709983817,0.015396440648584253
full_model_A_lambda_policy,AAL-SD (policy full),4,415,4,0.7190886384911881,0.00952764991107508,0.015158491008520453
full_model_A_lambda_policy,AAL-SD (policy full),5,503,4,0.7326872872333334,0.006211667698281707,0.009882763307966197
full_model_A_lambda_policy,AAL-SD (policy full),6,591,4,0.7413065753451484,0.0034011768761332347,0.005411272409927976
full_model_A_lambda_policy,AAL-SD (policy full),7,679,4,0.745076748581359,0.0032307098012020093,0.005140059293712397
full_model_A_lambda_policy,AAL-SD (policy full),8,767,4,0.7432408527802544,0.006264309193718322,0.009966515927205849
full_model_A_lambda_policy,AAL-SD (policy full),9,855,4,0.7541449352154164,0.00408169876796081,0.006493982739825649
full_model_A_lambda_policy,AAL-SD (policy full),10,943,4,0.7521772303835205,0.005919837677860821,0.009418461745476565
full_model_A_lambda_policy,AAL-SD (policy full),11,1031,4,0.7589460817105012,0.0043922823487804906,0.00698812121690976
full_model_A_lambda_policy,AAL-SD (policy full),12,1119,4,0.7571775662568679,0.004804466156499154,0.0076439056549901544
full_model_A_lambda_policy,AAL-SD (policy full),13,1207,4,0.7601861921398698,0.00448059405645433,0.007128625143818839
full_model_A_lambda_policy,AAL-SD (policy full),14,1295,4,0.7589060809263124,0.00796889684356793,0.012678514878116578
full_model_A_lambda_policy,AAL-SD (policy full),15,1383,4,0.7607015289917812,0.0046448782712262635,0.007390001329520985
full_model_B_lambda_agent,AAL-SD (agent-lambda),1,151,4,0.6448928621245337,0.00995517197060413,0.015838678605231173
full_model_B_lambda_agent,AAL-SD (agent-lambda),2,239,4,0.6922701117669157,0.010628409328524751,0.016909799241682878
full_model_B_lambda_agent,AAL-SD (agent-lambda),3,327,4,0.7103277401694144,0.008234899598229818,0.013101725260783641
full_model_B_lambda_agent,AAL-SD (agent-lambda),4,415,4,0.7277693337092542,0.0032153744283369852,0.0051156607154841435
full_model_B_lambda_agent,AAL-SD (agent-lambda),5,503,4,0.7296402725821923,0.00299964116056374,0.004772429086456911
full_model_B_lambda_agent,AAL-SD (agent-lambda),6,591,4,0.7436675212732996,0.005544861948481103,0.008821875360033433
full_model_B_lambda_agent,AAL-SD (agent-lambda),7,679,4,0.7468573017869071,0.00564503530034557,0.008981251162849802
full_model_B_lambda_agent,AAL-SD (agent-lambda),8,767,4,0.7438381785893752,0.00859403314225971,0.013673106729335199
full_model_B_lambda_agent,AAL-SD (agent-lambda),9,855,4,0.7533976816771129,0.004130466436286952,0.006571572100132541
full_model_B_lambda_agent,AAL-SD (agent-lambda),10,943,4,0.7513778804617081,0.003808082372552152,0.006058659054730474
full_model_B_lambda_agent,AAL-SD (agent-lambda),11,1031,4,0.7511840651311164,0.010948561709056484,0.017419161679108865
full_model_B_lambda_agent,AAL-SD (agent-lambda),12,1119,4,0.754110625713218,0.005250438397999776,0.008353447491217643
full_model_B_lambda_agent,AAL-SD (agent-lambda),13,1207,4,0.7581446128928201,0.005177836549615214,0.008237937950437806
full_model_B_lambda_agent,AAL-SD (agent-lambda),14,1295,4,0.7600655988526128,0.00591210397052152,0.009406157417099738
full_model_B_lambda_agent,AAL-SD (agent-lambda),15,1383,4,0.7616146667442752,0.001378695817942792,0.002193505046346982
