round,grad_total_norm_mean,grad_backbone_norm_mean,grad_head_norm_mean,grad_cos_consecutive_mean,grad_cos_to_mean_mean,grad_train_val_cos,grad_n_probe_batches,experiment
6,1.1225891793043963,0.9847427515181979,0.5174670161547363,0.17372010652051767,0.41658290393144776,0.4336101481346101,8.0,baseline_llm_us
7,1.0447481580443243,0.8805399653679606,0.5361495832896523,0.3270675463554791,0.5514152877602825,0.6039033002150546,8.0,baseline_llm_us
8,0.9244216080165198,0.7797492294561609,0.47731113673294023,0.19471483020452268,0.5236582898026511,0.22686425748092304,8.0,baseline_llm_us
9,0.9410381826913851,0.778252258925558,0.505889898436654,0.3482984268012104,0.4995287005489958,0.4613141325373299,8.0,baseline_llm_us
10,0.7710120899403142,0.614392827397696,0.4437580736343148,0.2658274117794618,0.46498662978086214,0.3934195420100379,8.0,baseline_llm_us
11,0.7219632153447133,0.6144992874400421,0.36502353429756146,0.298638237058002,0.49901145127734853,0.24554088229177692,8.0,baseline_llm_us
12,0.7728229252765146,0.6778947169037584,0.3595818889017009,0.2815547187086917,0.5060399553598849,-0.06681377687973873,8.0,baseline_llm_us
13,0.6511034284509004,0.5573767010749583,0.3258076348978637,0.22637757669906255,0.47321244913536165,0.04594875838248941,8.0,baseline_llm_us
14,0.6688415181749342,0.5584583131558069,0.35065576607046023,0.21673868592729284,0.5406176550874063,0.3514577705300282,8.0,baseline_llm_us
15,0.6963186513917771,0.612054082871194,0.32167656798241784,0.21538290433670074,0.3499563590141125,0.07747080336815121,8.0,baseline_llm_us
1,1.7003097888433676,1.194787382047504,1.1656413178273242,0.8292743120026567,0.9169813689348345,0.8639797504379818,8.0,baseline_random
2,1.2188145640759231,0.8819116629215547,0.8053593510060872,0.7024277039086975,0.8497903743477078,0.8460920535544799,8.0,baseline_random
3,0.9340421542242501,0.7792912615881303,0.491806714935353,0.5467173508782165,0.7370836331112205,0.8568996369301477,8.0,baseline_random
4,0.8229432932758265,0.6413116827127131,0.48182797346777695,0.6438673418401082,0.8028626099113113,0.743771936036562,8.0,baseline_random
5,0.7500508568780877,0.5898368512869263,0.4297626643003337,0.5730597836903168,0.7371055530545212,0.506839695557546,8.0,baseline_random
6,0.6333295941689623,0.4833093789822735,0.3844527104155696,0.5127307680756025,0.6622911722754541,0.499976647100593,8.0,baseline_random
7,0.6764121329971191,0.5079954955291233,0.41002196545903036,0.4156215955190037,0.5770935789567534,0.6841050416424461,8.0,baseline_random
8,0.5745817450501679,0.4257912392449871,0.35780058810107235,0.27549223215856483,0.5876595612619084,0.56750764733616,8.0,baseline_random
9,0.6435700189238489,0.4887432069548659,0.3825433788466023,0.4409444908934771,0.6575731130284612,0.7128018100940269,8.0,baseline_random
10,0.6238823094100991,0.49847880381974596,0.33242630984296206,0.5573752173110558,0.6793322684345309,0.5581533123024589,8.0,baseline_random
11,0.49734976843593,0.3972754299202128,0.28292225242735225,0.43760447605140157,0.5933387140370707,0.3985310781584509,8.0,baseline_random
