round,labeled_size,miou_round,f1_round,epochs_observed,experiment
7,679,0.7316705342970057,0.8199939545949224,10,baseline_llm_rs
8,767,0.7365128126278443,0.8245961205758857,10,baseline_llm_rs
9,855,0.727849157645633,0.816575157184307,10,baseline_llm_rs
10,943,0.738449259851367,0.8265529206523722,10,baseline_llm_rs
11,1031,0.7413717257213901,0.8292412409570937,10,baseline_llm_rs
12,1119,0.7472206705727078,0.8337908871683164,10,baseline_llm_rs
13,1207,0.7460348086515163,0.8327901705537457,10,baseline_llm_rs
14,1295,0.742522883672097,0.8299252252482763,10,baseline_llm_rs
15,1383,0.7585339499716587,0.8435304248895965,10,baseline_llm_rs
1,151,0.6312234551601786,0.7163289617928635,10,baseline_llm_us
2,239,0.7029578573100981,0.7930539795883589,10,baseline_llm_us
3,327,0.7084425477619403,0.7983705814896391,10,baseline_llm_us
4,415,0.7270533658653561,0.8156642826313203,10,baseline_llm_us
5,503,0.7441963089371317,0.8312329237764042,10,baseline_llm_us
6,591,0.7534006584630122,0.8392767171617703,10,baseline_llm_us
7,679,0.7491329120626089,0.8354323549471339,10,baseline_llm_us
8,767,0.7582390165280557,0.8433440890468945,10,baseline_llm_us
9,855,0.7340196890217094,0.8218963124920912,10,baseline_llm_us
10,943,0.7614754984328365,0.84607317378756,10,baseline_llm_us
11,1031,0.7656927387475082,0.8495017141782706,10,baseline_llm_us
12,1119,0.7632234098930889,0.8473525152013147,10,baseline_llm_us
13,1207,0.7574444086035215,0.8425466783208302,10,baseline_llm_us
14,1295,0.7483054885655012,0.8346076842024706,10,baseline_llm_us
15,1383,0.7627649355004735,0.8469663593784869,10,baseline_llm_us
1,151,0.5968100573724391,0.6712982084535125,10,baseline_random
2,239,0.6825373207112315,0.7726149034952432,10,baseline_random
3,327,0.7141922236212529,0.8043873967400659,10,baseline_random
4,415,0.7205891029423689,0.8101663275714279,10,baseline_random
5,503,0.7315356187652786,0.8199560563216832,10,baseline_random
6,591,0.7300182507683749,0.8187915247205828,10,baseline_random
7,679,0.7253176043996794,0.8150106846717787,10,baseline_random
8,767,0.7386570752468555,0.826226713919,10,baseline_random
9,855,0.7346781955637739,0.8226609344617779,10,baseline_random
10,943,0.7406569105560122,0.8280323395384561,10,baseline_random
11,1031,0.7526905729785787,0.8385574407088363,10,baseline_random
12,1119,0.7541346619014628,0.8400448209124692,10,baseline_random
13,1207,0.7425405110970493,0.8295817937371712,10,baseline_random
14,1295,0.751089030097048,0.8372700242665012,10,baseline_random
15,1383,0.758479657060555,0.8434728028222722,10,baseline_random
1,151,0.6138436637531776,0.693617102800282,10,fixed_lambda
2,239,0.6987512557958261,0.7891205415546368,10,fixed_lambda
3,327,0.6958922475499774,0.7861567984029967,10,fixed_lambda
4,415,0.722252541538872,0.8112512638850492,10,fixed_lambda
5,503,0.736325601172733,0.824272455501152,10,fixed_lambda
6,591,0.747187695801784,0.8337458664464269,10,fixed_lambda
7,679,0.7529144655614364,0.8387338723539055,10,fixed_lambda
8,767,0.7557942856678127,0.8413214610212848,10,fixed_lambda
9,855,0.7560380993603268,0.8413443528387301,10,fixed_lambda
10,943,0.7616315510618061,0.8459612217401258,10,fixed_lambda
11,1031,0.7604360443049485,0.8449953658171212,10,fixed_lambda
12,1119,0.7624902836475564,0.8467032064083704,10,fixed_lambda
13,1207,0.7653617417883636,0.8491630984766438,10,fixed_lambda
14,1295,0.7560289612528994,0.8413672232052078,10,fixed_lambda
15,1383,0.7623966707499487,0.8466664447973203,10,fixed_lambda
1,151,0.6246957161244544,0.7075189634220217,10,full_model_fixed_epochs_lambda_budget
2,239,0.6868844749880582,0.7775045189323748,10,full_model_fixed_epochs_lambda_budget
3,327,0.7131429698011844,0.8027537393984152,10,full_model_fixed_epochs_lambda_budget
4,415,0.7273988396342802,0.8168780823019282,10,full_model_fixed_epochs_lambda_budget
5,503,0.7372146155546988,0.8250337868395776,10,full_model_fixed_epochs_lambda_budget
6,591,0.7462361649127998,0.8328542450987224,10,full_model_fixed_epochs_lambda_budget
7,679,0.7444715421933454,0.8312701398991006,10,full_model_fixed_epochs_lambda_budget
8,759,0.7548588653405975,0.8402652660389208,10,full_model_fixed_epochs_lambda_budget
9,847,0.7523609953418208,0.8382429045706817,10,full_model_fixed_epochs_lambda_budget
10,891,0.7542247401631259,0.8397558002156754,10,full_model_fixed_epochs_lambda_budget
11,979,0.7581840424257534,0.8430944840110159,10,full_model_fixed_epochs_lambda_budget
12,1067,0.7515994222408819,0.8374928757589357,10,full_model_fixed_epochs_lambda_budget
13,1155,0.7558702902878176,0.8412786639666077,10,full_model_fixed_epochs_lambda_budget
14,1243,0.7558789793082165,0.8411614674829211,10,full_model_fixed_epochs_lambda_budget
15,1331,0.7659831988328627,0.8498404799119377,10,full_model_fixed_epochs_lambda_budget
1,151,0.6019841597506245,0.6783267695011023,10,full_model
2,239,0.7048608229504751,0.7957553339478332,10,full_model
3,327,0.7201786553067822,0.8095565686270507,10,full_model
4,415,0.7156446356953574,0.8050869978102775,10,full_model
5,485,0.7340133134784012,0.8220729028863658,10,full_model
6,573,0.7448995635528267,0.8317694331211112,10,full_model
7,661,0.7458191975411943,0.8325973224742744,10,full_model
8,749,0.7446179241331812,0.8313707423629849,10,full_model
9,829,0.7452037535845454,0.8319628422389003,10,full_model
10,917,0.756627743259127,0.8420306764922589,10,full_model
11,1005,0.7491855690397909,0.8353545205247306,10,full_model
12,1093,0.7541191033422789,0.83974345377411,10,full_model
13,1181,0.7567175256204106,0.8419661848874932,10,full_model
14,1269,0.7450094264463707,0.8324078498366423,10,full_model
15,1319,0.7606991449230512,0.845284011714392,10,full_model
1,151,0.6163722657705939,0.6973242012223718,10,knowledge_only
2,239,0.669362908489133,0.7585064911841383,10,knowledge_only
3,327,0.6957765784866484,0.7857855598539338,10,knowledge_only
4,415,0.7173021154404435,0.8070826473019582,10,knowledge_only
5,503,0.7293289558250591,0.8181678056886522,10,knowledge_only
6,591,0.7154188711111026,0.8053766043247936,10,knowledge_only
7,679,0.7291227334300581,0.8177496640527266,10,knowledge_only
8,767,0.7429255272055637,0.8299486787729913,10,knowledge_only
9,855,0.7414847208193951,0.8288284905505706,10,knowledge_only
10,943,0.7445747163598533,0.8314509683041758,10,knowledge_only
11,1031,0.7397772581914761,0.827907749005593,10,knowledge_only
12,1119,0.7455616820875683,0.8327351885181797,10,knowledge_only
13,1207,0.7518273695720482,0.8379769832199317,10,knowledge_only
14,1295,0.7343637283604754,0.8226505891671525,10,knowledge_only
15,1383,0.7497028118649545,0.8359750028164545,10,knowledge_only
1,151,0.5910667060142438,0.6635861525039418,10,no_agent
2,239,0.7096960730042045,0.7997612857475733,10,no_agent
3,327,0.7229953927038573,0.8122652110382803,10,no_agent
4,415,0.7355775913803723,0.8236089028074944,10,no_agent
5,503,0.7371163740160085,0.8249792105542153,10,no_agent
6,591,0.7385236454569978,0.8259914899285702,10,no_agent
7,679,0.7500909341352063,0.8362737108446611,10,no_agent
8,767,0.756898709922802,0.841993400704558,10,no_agent
