round,grad_total_norm_mean,grad_backbone_norm_mean,grad_head_norm_mean,grad_cos_consecutive_mean,grad_cos_to_mean_mean,grad_train_val_cos,grad_n_probe_batches,experiment
13,0.5063651083516862,0.4297677830930763,0.2542967225842427,0.4156486777875523,0.5849666961447814,-0.09447874838495088,8.0,baseline_random
14,0.5128915749066252,0.390249283594027,0.31347958993060765,0.258690775027303,0.45881572272648385,0.2576781839534429,8.0,baseline_random
15,0.43016816287633064,0.36009681794570003,0.2221604375390795,0.33951577668655764,0.4330952549156226,0.19184573851889686,8.0,baseline_random
1,1.7590290747432882,1.2639666864306147,1.1561916122849676,0.8104495902128018,0.905669423029817,0.8855471630855487,8.0,baseline_wang_style
2,1.7609589478464378,1.449069792741982,0.9458224781165308,0.5614040509819659,0.7512350646423455,0.8625214931544866,8.0,baseline_wang_style
3,1.5546367517273925,1.3860165366671169,0.677460671941369,0.4088774810781851,0.5937028722139279,0.5471327575158912,8.0,baseline_wang_style
4,1.4934437871763298,1.3010908513488535,0.6966781221955686,0.38500472367788763,0.608416120459361,0.6541875665058231,8.0,baseline_wang_style
5,1.2199234043747986,1.0644657535664523,0.5717556165364329,0.2774252842802853,0.46315582097005903,0.41228969185505615,8.0,baseline_wang_style
6,1.1871381945344863,1.0538213338339295,0.5272996973370968,0.25765195617983105,0.48191458807842036,0.5642675152946777,8.0,baseline_wang_style
7,1.0373941039337535,0.8768943747899268,0.5296157695614696,0.2814661193045859,0.48735750207652345,0.4963270742748195,8.0,baseline_wang_style
8,0.9496475447923889,0.8082085046753518,0.47638012274929853,0.22934132084672382,0.501069491296853,0.23530811768198187,8.0,baseline_wang_style
9,0.9018610734324634,0.7464427749323401,0.4794475129633914,0.09070192407096297,0.3813432535777836,0.3247108655459008,8.0,baseline_wang_style
10,0.7920195997180451,0.6695552940974844,0.39687543888877835,0.2923477284303895,0.549281734057747,0.5218739186892808,8.0,baseline_wang_style
11,0.7014285937182599,0.5883396760208265,0.36875169245225087,0.2908733620992095,0.5166258039924567,0.14961632498421537,8.0,baseline_wang_style
12,0.8149386964688876,0.7246229981178842,0.36013396343760296,0.31567215333741694,0.5396241568905069,0.06174857550594015,8.0,baseline_wang_style
13,0.70248098774368,0.6141983835456288,0.3284861054940115,0.29057712731476204,0.44247370064100255,0.038125163149100826,8.0,baseline_wang_style
14,0.6815212207861082,0.5648886031700323,0.3644625800804878,0.20471310918655167,0.48940422304451525,0.3953724302245458,8.0,baseline_wang_style
15,0.6093306734852536,0.5144247048779845,0.3170830990025501,0.4267093730104974,0.527441364034875,0.3004768958620078,8.0,baseline_wang_style
1,1.7191171002636143,1.2261853042963708,1.1603961273740842,0.8621297869222341,0.9234656520735592,0.9099999336419341,8.0,fixed_k
2,1.791848590133171,1.493989772506506,0.9459457520133985,0.573456693675563,0.7504220631919749,0.8562032996686693,8.0,fixed_k
3,1.6228879280754018,1.4682118751711775,0.6677971351476752,0.36838568244561987,0.5988389542929695,0.4003855391648967,8.0,fixed_k
4,1.3252253819522264,1.123822180194918,0.6717605742414008,0.4831772244896076,0.6699326405553936,0.4906772967202472,8.0,fixed_k
5,1.2809733667022685,1.1261936524061027,0.5861547318198105,0.23591764527135997,0.5107859344024118,0.5352090460735475,8.0,fixed_k
6,1.039228413564754,0.8996999124541087,0.49783020535028266,0.3105326044619569,0.4870630302585483,0.41149545612116256,8.0,fixed_k
7,1.0368558763440014,0.859821739223228,0.5554466407360884,0.26476769449664184,0.46746554498401666,0.4733984648801555,8.0,fixed_k
8,0.9351493164078445,0.7978371659870165,0.46903286736074107,0.31147877061819634,0.5162511950363757,0.3475534976019039,8.0,fixed_k
9,0.8099144214924415,0.6569189940231983,0.4468663533497372,0.27829154947264034,0.5434542615880785,0.28799751185116285,8.0,fixed_k
10,0.7771126693324186,0.6460103995795538,0.4026805469062672,0.3172767772502058,0.5081209771249018,0.46077066031151653,8.0,fixed_k
11,0.6696174004448382,0.5635753473616861,0.34706714092224555,0.26170898564392564,0.5043962285966951,-0.12322462274865105,8.0,fixed_k
12,0.7003034285332543,0.6070054937731313,0.33824443753645295,0.33477265642926335,0.514970802180998,0.2594789205961333,8.0,fixed_k
13,0.6928858975376462,0.6022264117137596,0.3303260306518717,0.2945852260781078,0.45004862921518435,0.14517187367769593,8.0,fixed_k
14,0.6572842228451673,0.5508929625092025,0.34135885456103293,0.3718162465071022,0.5431966210990158,0.49846955630814166,8.0,fixed_k
15,0.6507195480960528,0.5657326617921444,0.3123976436297009,0.32416578679431834,0.4896302029924044,0.09290943117306623,8.0,fixed_k
