round,labeled_size,mIoU,f1,selection_expected,selection_selected,selection_source,avg_uncertainty,avg_knowledge_gain,lambda_t,lambda_controller,lambda_controller_mode,miou_delta,rollback_flag,experiment
14,1383,0.7641912823400985,0.8483087117982683,88.0,88.0,pipeline,0.04799914048325951,,,,,0.003355687631477311,False,baseline_dial_style
15,1383,0.7674848041991322,0.8509976660817222,,,,,,,,,0.0032935218590337545,False,baseline_dial_style
1,239,0.6080569671707865,0.6870125961810486,88.0,88.0,pipeline,,,,,,,False,baseline_entropy
2,327,0.6907104034176443,0.7810046354121938,88.0,88.0,pipeline,,,,,,0.08265343624685784,False,baseline_entropy
3,415,0.710615920692622,0.800555233662023,88.0,88.0,pipeline,,,,,,0.01990551727497769,False,baseline_entropy
4,503,0.7210093591801083,0.8101987585388664,88.0,88.0,pipeline,,,,,,0.010393438487486306,False,baseline_entropy
5,591,0.7450565413006837,0.8322559773497795,88.0,88.0,pipeline,,,,,,0.024047182120575328,False,baseline_entropy
6,679,0.7406676971694042,0.827866203434471,88.0,88.0,pipeline,,,,,,-0.00438884413127949,False,baseline_entropy
7,767,0.7457634249338416,0.8324593749134098,88.0,88.0,pipeline,,,,,,0.005095727764437452,False,baseline_entropy
8,855,0.7498818575473001,0.8360050323368511,88.0,88.0,pipeline,,,,,,0.004118432613458456,False,baseline_entropy
9,943,0.752068079535918,0.8380376305666031,88.0,88.0,pipeline,,,,,,0.0021862219886179535,False,baseline_entropy
10,1031,0.7444246575597258,0.8312252199373868,88.0,88.0,pipeline,,,,,,-0.007643421976192277,False,baseline_entropy
11,1119,0.7611028938782383,0.8455999196801733,88.0,88.0,pipeline,,,,,,0.016678236318512507,False,baseline_entropy
12,1207,0.757117019230152,0.8421404029896202,88.0,88.0,pipeline,,,,,,-0.003985874648086307,False,baseline_entropy
13,1295,0.7423416951089469,0.8292426183869763,88.0,88.0,pipeline,,,,,,-0.01477532412120508,False,baseline_entropy
14,1383,0.7518116713970573,0.8375994185835598,88.0,88.0,pipeline,,,,,,0.009469976288110415,False,baseline_entropy
15,1383,0.7579638402437794,0.8427931106963664,,,,,,,,,0.006152168846722095,False,baseline_entropy
1,239,0.633779364408299,0.7192672500071975,88.0,88.0,pipeline,,,,,,,False,baseline_llm_rs
2,327,0.667968630707299,0.7573629897761309,88.0,88.0,pipeline,,,,,,0.03418926629899999,False,baseline_llm_rs
3,415,0.6898593066253221,0.7801085304038303,88.0,88.0,pipeline,,,,,,0.021890675918023184,False,baseline_llm_rs
4,503,0.7162770111597428,0.8062107782271744,88.0,88.0,pipeline,,,,,,0.026417704534420716,False,baseline_llm_rs
5,591,0.7225404268167388,0.81196465785291,88.0,88.0,pipeline,,,,,,0.006263415656995952,False,baseline_llm_rs
6,679,0.7247494530444656,0.8141517641546676,88.0,88.0,pipeline,,,,,,0.0022090262277267847,False,baseline_llm_rs
7,767,0.7375695782482569,0.8252957031849681,88.0,88.0,pipeline,,,,,,0.012820125203791277,False,baseline_llm_rs
8,855,0.7325350732271404,0.8208025203741747,88.0,88.0,pipeline,,,,,,-0.005034505021116464,False,baseline_llm_rs
9,943,0.7367140697834795,0.8246186697797246,88.0,88.0,pipeline,,,,,,0.004178996556339132,False,baseline_llm_rs
10,1031,0.7474787135012095,0.8342335700503958,88.0,88.0,pipeline,,,,,,0.010764643717730005,False,baseline_llm_rs
11,1119,0.7448411454892113,0.8316916186005765,88.0,88.0,pipeline,,,,,,-0.0026375680119982148,False,baseline_llm_rs
12,1207,0.7499678607034881,0.8365016445779625,88.0,88.0,pipeline,,,,,,0.005126715214276767,False,baseline_llm_rs
13,1295,0.7564010543621804,0.8417599647662193,88.0,88.0,pipeline,,,,,,0.006433193658692327,False,baseline_llm_rs
14,1383,0.7390684112119295,0.8268463997319241,88.0,88.0,pipeline,,,,,,-0.01733264315025096,False,baseline_llm_rs
15,1383,0.750344193755921,0.836542195245406,,,,,,,,,0.01127578254399153,False,baseline_llm_rs
1,239,0.5979304051035796,0.6728351762933862,88.0,88.0,pipeline,,,,,,,False,baseline_llm_us
2,327,0.6999705907598881,0.7901456885268481,88.0,88.0,pipeline,,,,,,0.10204018565630846,False,baseline_llm_us
3,415,0.7082633674474942,0.7980725723535308,88.0,88.0,pipeline,,,,,,0.008292776687606085,False,baseline_llm_us
4,503,0.7158762634190179,0.8053464664954296,88.0,88.0,pipeline,,,,,,0.007612895971523703,False,baseline_llm_us
5,591,0.7467147104613954,0.8333589553406175,88.0,88.0,pipeline,,,,,,0.03083844704237748,False,baseline_llm_us
6,679,0.7356010724582743,0.8233923322436834,88.0,88.0,pipeline,,,,,,-0.01111363800312104,False,baseline_llm_us
7,767,0.7432675549868604,0.8302023397628574,88.0,88.0,pipeline,,,,,,0.007666482528586038,False,baseline_llm_us
8,855,0.7587436174327672,0.8437342815094482,88.0,88.0,pipeline,,,,,,0.015476062445906824,False,baseline_llm_us
9,943,0.751097222058245,0.8371258657421261,88.0,88.0,pipeline,,,,,,-0.0076463953745221636,False,baseline_llm_us
10,1031,0.7587598942880099,0.8436777536606888,88.0,88.0,pipeline,,,,,,0.007662672229764911,False,baseline_llm_us
11,1119,0.7602149313591922,0.8449482929373925,88.0,88.0,pipeline,,,,,,0.0014550370711822191,False,baseline_llm_us
12,1207,0.7585036282923415,0.8436469548435677,88.0,88.0,pipeline,,,,,,-0.0017113030668506335,False,baseline_llm_us
13,1295,0.7620019939715953,0.846287106773396,88.0,88.0,pipeline,,,,,,0.0034983656792537676,False,baseline_llm_us
14,1383,0.7500395056049038,0.836032465848019,88.0,88.0,pipeline,,,,,,-0.011962488366691448,False,baseline_llm_us
15,1383,0.7658174692772918,0.849491797690761,,,,,,,,,0.01577796367238793,False,baseline_llm_us
1,239,0.6212919892673181,0.7029955410067834,88.0,88.0,pipeline,,,,,,,False,baseline_random
2,327,0.6939054633140451,0.7848480261829518,88.0,88.0,pipeline,,,,,,0.07261347404672702,False,baseline_random
3,415,0.7125799969601884,0.80273650647682,88.0,88.0,pipeline,,,,,,0.018674533646143243,False,baseline_random
4,503,0.7086237468066867,0.7984299676638942,88.0,88.0,pipeline,,,,,,-0.00395625015350165,False,baseline_random
5,591,0.7283248242835507,0.8170010690802684,88.0,88.0,pipeline,,,,,,0.019701077476864004,False,baseline_random
6,679,0.7346062160767295,0.8228172227000571,88.0,88.0,pipeline,,,,,,0.00628139179317877,False,baseline_random
7,767,0.733291172345206,0.8217593753195116,88.0,88.0,pipeline,,,,,,-0.0013150437315234687,False,baseline_random
8,855,0.7298501934473327,0.8181812908484623,88.0,88.0,pipeline,,,,,,-0.0034409788978733147,False,baseline_random
9,943,0.7315581486268714,0.8199822068086063,88.0,88.0,pipeline,,,,,,0.0017079551795387005,False,baseline_random
10,1031,0.7429633345396495,0.8301584407783251,88.0,88.0,pipeline,,,,,,0.01140518591277806,False,baseline_random
11,1119,0.7489230645945917,0.8351859300620265,88.0,88.0,pipeline,,,,,,0.005959730054942214,False,baseline_random
12,1207,0.7413071427255509,0.8284490091874845,88.0,88.0,pipeline,,,,,,-0.007615921869040809,False,baseline_random
13,1295,0.7376097972566383,0.8251747318502732,88.0,88.0,pipeline,,,,,,-0.0036973454689125385,False,baseline_random
14,1383,0.743388738471634,0.8305588048801869,88.0,88.0,pipeline,,,,,,0.00577894121499567,False,baseline_random
15,1383,0.7561446226627333,0.8414822906473731,,,,,,,,,0.012755884191099298,False,baseline_random
1,239,0.624617878344901,0.7073279133254133,88.0,88.0,pipeline,0.3284307056392794,,,,,,False,baseline_wang_style
2,327,0.6899073857490483,0.7802196810916153,88.0,88.0,pipeline,0.23210702225894844,,,,,0.0652895074041473,False,baseline_wang_style
3,415,0.720627530899512,0.8097621924666637,88.0,88.0,pipeline,0.17918619212936696,,,,,0.03072014515046373,False,baseline_wang_style
4,503,0.7293943916038462,0.8180780366216691,88.0,88.0,pipeline,0.16716973704446286,,,,,0.00876686070433419,False,baseline_wang_style
5,591,0.7374329138866511,0.8251325203476185,88.0,88.0,pipeline,0.12016795783432542,,,,,0.008038522282804883,False,baseline_wang_style
6,679,0.7517443063341078,0.8375878351244586,88.0,88.0,pipeline,0.09907927296584224,,,,,0.014311392447456717,False,baseline_wang_style
7,767,0.7575878601431973,0.8427501439095475,88.0,88.0,pipeline,0.12048452709530753,,,,,0.005843553809089519,False,baseline_wang_style
8,855,0.7523375228661531,0.8381852231298077,88.0,88.0,pipeline,0.08068939359230744,,,,,-0.00525033727704427,False,baseline_wang_style
9,943,0.758279735299701,0.8433320007192293,88.0,88.0,pipeline,0.09677763633706449,,,,,0.005942212433547978,False,baseline_wang_style
10,1031,0.7468635335571541,0.8334082299477876,88.0,88.0,pipeline,0.060271455755371024,,,,,-0.011416201742546983,False,baseline_wang_style
11,1119,0.7582429544860073,0.843106379588149,88.0,88.0,pipeline,0.04383292973487429,,,,,0.011379420928853246,False,baseline_wang_style
12,1207,0.7585616131695245,0.8433657233136846,88.0,88.0,pipeline,0.04887565599484394,,,,,0.0003186586835172145,False,baseline_wang_style
13,1295,0.7600765610412746,0.8447641042936027,88.0,88.0,pipeline,0.04788327501075534,,,,,0.0015149478717501053,False,baseline_wang_style
