round,labeled_size,miou_round,f1_round,epochs_observed,experiment
2,239,0.7068699059273339,0.7968003988773434,10,full_model_default_thresholds
3,327,0.7255908590726075,0.8144749399226746,10,full_model_default_thresholds
4,415,0.7350535704242688,0.8230721216791318,10,full_model_default_thresholds
5,503,0.7394217375267798,0.8270224918577742,10,full_model_default_thresholds
6,591,0.7522327864070566,0.8383959111206472,10,full_model_default_thresholds
7,679,0.7462937262952234,0.8328416036492641,10,full_model_default_thresholds
8,767,0.7407539265617905,0.8280031522671185,10,full_model_default_thresholds
9,855,0.7605868765073788,0.8452850917051284,10,full_model_default_thresholds
10,943,0.7568618170955492,0.8420786946840142,10,full_model_default_thresholds
11,1031,0.7645975760832482,0.8485242759486642,10,full_model_default_thresholds
12,1119,0.7624990248473105,0.8467805782848203,10,full_model_default_thresholds
13,1207,0.7541632137027894,0.8397530887331079,10,full_model_default_thresholds
14,1295,0.7583969346068752,0.8432556792336017,10,full_model_default_thresholds
15,1383,0.7608106015943349,0.8454038412090468,10,full_model_default_thresholds
1,151,0.6193141494502058,0.7005929454385569,10,full_model_fixed_epochs_lambda_budget
2,239,0.6916789985055488,0.7816798990558389,10,full_model_fixed_epochs_lambda_budget
3,327,0.7224764323435546,0.8114616074308081,10,full_model_fixed_epochs_lambda_budget
4,415,0.7371423800103079,0.8249337726819603,10,full_model_fixed_epochs_lambda_budget
5,503,0.7370921402534354,0.8247668568356179,10,full_model_fixed_epochs_lambda_budget
6,591,0.7326727752402058,0.8213705293765474,10,full_model_fixed_epochs_lambda_budget
7,679,0.75014599926549,0.83618702144629,10,full_model_fixed_epochs_lambda_budget
8,767,0.7545874574761787,0.8400513098262141,10,full_model_fixed_epochs_lambda_budget
9,855,0.7428779562427573,0.8298443191851688,10,full_model_fixed_epochs_lambda_budget
10,943,0.7574719470402769,0.8425058986214431,10,full_model_fixed_epochs_lambda_budget
11,1031,0.7631415261511271,0.8474562763172986,10,full_model_fixed_epochs_lambda_budget
