round,lambda,epochs,query_size,rollback_flag,miou_delta,last_miou,ts,experiment
6,0.2,,,False,0.007073521260906546,0.7492146967093931,2026-02-18T14:02:14.099235,full_model
7,0.25,,,False,-0.004180941438828634,0.7450337552705645,2026-02-18T14:11:10.628470,full_model
8,0.2,,,False,0.013210560969694307,0.7582443162402588,2026-02-18T14:20:22.698757,full_model
9,0.25,,,False,-0.005648856714990158,0.7525954595252686,2026-02-18T14:31:15.165863,full_model
10,0.2,,,False,0.004088378648641755,0.7566838381739104,2026-02-18T14:42:20.886254,full_model
11,0.2,,,False,-0.0016404346995920749,0.7550434034743183,2026-02-18T14:53:41.577140,full_model
12,0.2,,,False,0.002749542451558007,0.7577929459258763,2026-02-18T15:06:17.534911,full_model
13,0.2,,,False,0.005779931790909187,0.7635728777167855,2026-02-18T15:20:04.987500,full_model
14,0.2,,,False,-0.00308337285593574,0.7604895048608498,2026-02-18T15:35:57.188948,full_model
1,0.0,,,False,,0.5810436072918077,2026-02-19T12:33:17.763851,no_cold_start
2,0.2,,,False,0.12344512412756747,0.7044887314193752,2026-02-19T12:38:19.894064,no_cold_start
3,0.25,,,False,-0.009083948344347226,0.695404783075028,2026-02-19T12:44:57.597744,no_cold_start
4,0.25,,,False,0.028181216406044318,0.7235859994810723,2026-02-19T12:51:54.346097,no_cold_start
5,0.25,,,False,0.019415614079918653,0.7430016135609909,2026-02-19T13:00:21.658181,no_cold_start
6,0.3,,,False,-0.010829545951530406,0.7321720676094605,2026-02-19T13:09:18.371415,no_cold_start
7,0.3,,,False,0.022977716267504444,0.755149783876965,2026-02-19T13:19:06.139239,no_cold_start
8,0.35,,,False,0.0005817748679473045,0.7557315587449123,2026-02-19T13:29:34.032733,no_cold_start
9,0.39999999999999997,,,False,-0.007434019782176171,0.7482975389627361,2026-02-19T13:41:30.327740,no_cold_start
10,0.29999999999999993,,,False,0.005338410330258836,0.7536359492929949,2026-02-19T13:53:19.346919,no_cold_start
11,0.2,,,False,0.008808014249514828,0.7624439635425098,2026-02-19T14:06:10.921302,no_cold_start
12,0.2,,,False,-0.003163630671632056,0.7592803328708777,2026-02-19T14:19:21.464820,no_cold_start
13,0.2,,,False,0.004786758593576024,0.7640670914644537,2026-02-19T14:33:26.864793,no_cold_start
14,0.2,,,False,-0.007595677028358394,0.7564714144360953,2026-02-19T14:49:34.017989,no_cold_start
