round,epoch,labeled_size,loss,mIoU,f1,grad_train_val_cos,grad_cos_to_mean_mean,grad_cos_consecutive_mean,grad_total_norm_mean,experiment_name
4,2,415,0.18867233583649384,0.656341459136844,0.7442048008788467,0.9169850648279808,0.9289498808153016,0.7842396483075336,1.6216942933616858,no_normalization
4,3,415,0.1554944476166975,0.6622367898086162,0.750547260561387,0.8863922713903252,0.7630188008300869,0.43893610958408363,1.2723144893243648,no_normalization
4,4,415,0.1341729950774642,0.656147385718457,0.7437501547113486,0.8923258448349848,0.7977367089664049,0.5098945174120886,0.9599036657394511,no_normalization
4,5,415,0.12099375087514665,0.6974396840306488,0.7875120615962257,0.6639725854655896,0.6401877508215059,0.40952919274834043,0.826794881404329,no_normalization
4,6,415,0.12083946848378598,0.705556926894064,0.7953348126933082,0.7202499586980401,0.8044772899232671,0.583503688940524,0.8395704776115964,no_normalization
4,7,415,0.11301831463442265,0.714731499525286,0.8040735848610313,0.5437931527535695,0.3923502858556684,0.08828757054561683,0.7296122763763186,no_normalization
4,8,415,0.10731354800676837,0.6939191182735327,0.783758845369887,0.5622329979948928,0.4876443031881492,0.44487217976704685,0.6994266675910421,no_normalization
4,9,415,0.10269696131637952,0.7029403258905711,0.7927085171107234,0.6476583287595493,0.3966077261091336,-0.21103852765731657,0.6938067878371824,no_normalization
4,10,415,0.1010274580381449,0.7311801136842053,0.819527096418045,-0.5813606284652278,0.6612390471110471,0.5025329814446614,0.6612533526437153,no_normalization
5,1,503,0.34125054740905764,0.5695034434611942,0.6330661821002332,0.8711499412966478,0.9966152850860543,0.9913719733343967,3.6743109704443264,no_normalization
5,2,503,0.17608938992023468,0.6660135584039075,0.7549617932242922,0.9061167718370273,0.5522861348944399,0.46591610074268175,1.6762897581250225,no_normalization
5,3,503,0.14573372119665146,0.7009300420306142,0.7911604622340125,0.8614388598257816,0.46494216857088333,-0.11604686600342887,1.342260110964393,no_normalization
5,4,503,0.1299030555486679,0.7236910424356664,0.8127310485593884,0.4731341488334888,0.3264135046679743,-0.09243372430406639,1.0499185690588666,no_normalization
5,5,503,0.12397090345621109,0.7236627534416413,0.8126722434230451,0.5361733331690143,0.3235239941575281,-0.1300863230965598,1.0332262788930364,no_normalization
5,6,503,0.11676314067840576,0.7222015942949901,0.8112091979467639,-0.11617893567539504,0.24432854866535383,0.05289909820793404,0.874817625951684,no_normalization
5,7,503,0.11025264909863472,0.6920047169268067,0.7817968071754464,0.3766527770645621,0.2318329592629557,0.17842205348839932,0.7775891926275573,no_normalization
5,8,503,0.10931003764271736,0.7115998974144373,0.801201380825503,0.4607394735047296,0.36781853933284386,0.3592611636265695,0.8428869134391451,no_normalization
5,9,503,0.10344848781824112,0.6757918976176049,0.7650036522018546,-0.30869284111801903,0.4299598579669901,-0.19708218189767754,0.6917418846150405,no_normalization
5,10,503,0.09762475952506065,0.7212558609355239,0.8102113459734595,0.7250245046462174,0.46800037525715155,0.013710510498991699,0.6220719894332998,no_normalization
6,1,591,0.37545196063259023,0.6335016829701565,0.7177364292930415,0.9341388073495123,0.9980631227865593,0.995480579473735,3.259708344941305,no_normalization
6,2,591,0.16509555001445367,0.6962294114265684,0.7864053728748477,0.9106858733022078,0.8506083108657411,0.6804964763079893,1.1549230550490444,no_normalization
6,3,591,0.13946773375378174,0.701780070833726,0.7922635806045342,0.7115242089491798,0.8795988813816942,0.7687400692373579,0.9790187435083175,no_normalization
6,4,591,0.12572459384900372,0.7127944392407551,0.8024375097289409,0.7140354080544796,0.8083348603764007,0.6443855871505278,0.8992295762345094,no_normalization
